name,   good_mass,   hasHJ,    hasCJ,    P_1comp,  P_1compv
Kepler-1030 , True , False , False , nan , nan
Kepler-186 , False , False , False , nan , nan
Kepler-468 , True , False , False , nan , nan
Kepler-1538 , True , False , False , nan , nan
Kepler-376 , False , False , False , nan , nan
Kepler-230 , False , False , False , nan , nan
Kepler-721 , True , False , False , nan , nan
Kepler-430 , True , False , False , nan , nan
Kepler-1429 , True , False , False , nan , nan
K2-187 , True , False , False , nan , nan
GJ 3293 , False , False , False , nan , nan
EPIC 212499991 , True , False , False , nan , nan
xi Aql , False , False , True , 1.7343715483249378e-20 , 3.850350572312747e-49
Kepler-915 , True , False , False , nan , nan
Kepler-665 , True , False , False , nan , nan
Kepler-145 , True , False , False , 3.006405598720099e-25 , 1.0649270624251532e-53
Kepler-1174 , True , False , False , nan , nan
Kepler-14 , True , False , False , nan , nan
Kepler-1097 , True , False , False , nan , nan
HD 208897 , True , False , True , 2.573758435560755e-19 , 1.824144307734214e-56
MOA-2013-BLG-605L , False , False , False , nan , nan
WASP-101 , True , False , False , 5.080279204477242e-19 , 3.0628989915635855e-56
Kepler-599 , True , False , False , nan , nan
K2-13 , True , False , False , 7.590202431006243e-21 , 6.31559982752918e-58
Kepler-705 , False , False , False , nan , nan
Kepler-614 , True , False , False , nan , nan
Kepler-192 , True , False , False , nan , nan
HD 24064 , True , False , True , 8.055009702932297e-25 , 6.751736132699477e-54
Kepler-610 , True , False , False , nan , nan
Kepler-1490 , True , False , False , nan , nan
K2-35 , True , False , False , nan , nan
HD 156411 , True , False , True , 2.535711824224999e-21 , 5.046635811178295e-49
HD 240210 , True , False , True , 2.234977213181487e-15 , 3.2909562030761787e-50
Kepler-122 , True , False , False , nan , nan
Kepler-1350 , False , False , False , nan , nan
Kepler-1516 , True , False , False , nan , nan
HD 21693 , True , False , False , 1.1058989956147385e-15 , 3.3217972483550084e-53
HAT-P-7 , True , False , False , 5.160403361552878e-17 , 5.484606423932036e-52
K2-215 , True , False , False , nan , nan
Kepler-1527 , True , False , False , nan , nan
MOA-2008-BLG-310L , False , False , False , nan , nan
HD 2685 , True , True , False , 6.809176658768174e-23 , 7.187553570811786e-47
Kepler-604 , True , False , False , nan , nan
OGLE-2015-BLG-1771L , False , False , False , nan , nan
Kepler-1084 , True , False , False , 4.3912260856232534e-24 , 8.185139981257186e-52
HD 159243 , True , True , True , 2.0242233348553684e-16 , 1.4402210645641754e-50
KELT-11 , True , False , False , 7.155909888643524e-15 , 5.351656488682305e-54
Kepler-1438 , True , False , False , nan , nan
KOI-13 , True , True , False , nan , nan
Kepler-543 , True , False , False , 1.633738463556104e-13 , 4.134305729372874e-47
Kepler-1525 , True , False , False , 3.4234407130049176e-22 , 4.775729483142594e-58
Kepler-1304 , True , False , False , nan , nan
CoRoT-27 , True , True , False , nan , nan
Kepler-1442 , True , False , False , 2.3235678461154662e-24 , 1.4995650225924754e-45
18 Del , False , False , True , 1.274693667399937e-16 , 5.398462312264395e-54
WASP-105 , True , True , False , 1.2376818661058482e-27 , 3.1528300803947272e-62
HATS-17 , True , True , False , 1.0722681497866986e-18 , 1.1586639756386085e-50
HIP 116454 , True , False , False , 1.3674661519976721e-16 , 5.668648425249685e-50
Kepler-1542 , True , False , False , 1.6111511228090666e-20 , 4.847170509434768e-58
Kepler-1144 , True , False , False , nan , nan
Kepler-375 , False , False , False , nan , nan
HATS-63 , True , True , False , nan , nan
Kepler-1143 , True , False , False , nan , nan
Kepler-875 , True , False , False , nan , nan
HD 164595 , True , False , False , 2.1934068584101355e-14 , 1.7374481174190708e-51
WASP-65 , True , True , False , nan , nan
HIP 57274 , True , True , True , 2.0893234403111827e-19 , 4.934307587588113e-58
Kepler-663 , True , False , False , nan , nan
OGLE-2012-BLG-0406L , False , False , False , nan , nan
K2-241 , True , False , False , 3.285244932352293e-18 , 6.394341325400792e-54
HD 134060 , True , False , False , 3.1104444200136974e-14 , 7.504257070834738e-51
Kepler-1605 , True , False , False , 5.7276271327336365e-25 , 1.0761856908923085e-51
HAT-P-13 , False , False , False , 1.0815372160460759e-32 , 8.87195725609968e-57
Kepler-1062 , True , False , False , nan , nan
GJ 86 , True , True , False , 1.429898467849694e-19 , 1.4412451619470843e-55
Kepler-178 , False , False , False , nan , nan
Kepler-1543 , True , False , False , nan , nan
Kepler-383 , False , False , False , nan , nan
Kepler-730 , True , False , False , nan , nan
Kepler-925 , True , False , False , nan , nan
HD 23127 , True , False , True , 5.3861257400402285e-18 , 6.084479837897243e-57
K2-275 , True , False , False , 7.211995436466666e-21 , 7.278501224496533e-57
Kepler-1427 , True , False , False , nan , nan
61 Vir , True , False , False , 2.052513134750059e-15 , 2.071639693222658e-62
HD 48265 , True , False , True , 6.2882963569601465e-15 , 2.202664313564067e-59
Kepler-1079 , True , False , False , nan , nan
Kepler-466 , True , False , False , 9.487933582495874e-34 , 5.547344436686354e-53
Kepler-134 , False , False , False , 1.9602209336587668e-16 , 7.90221252045929e-53
Kepler-300 , False , False , False , nan , nan
Kepler-725 , True , False , False , nan , nan
WASP-159 , True , True , False , nan , nan
Kepler-1459 , True , False , False , nan , nan
Kepler-27 , False , True , False , nan , nan
Kepler-920 , True , False , False , nan , nan
Kepler-1283 , True , False , False , nan , nan
