target,    dr2id,    dr3id
NGC 2682 YBP 1514, None, None
HD 170469, Gaia DR2 4484013343859055744, Gaia EDR3 4484013343859055744
Kepler-1623, Gaia DR2 2052435819888356864, None
K2-22, Gaia DR2 3811002791880297600, None
KMT-2019-BLG-0842L, None, None
Kepler-257, Gaia DR2 2080246282881778048, None
Kepler-989, Gaia DR2 2119584163218439040, None
Kepler-730, Gaia DR2 2106412082639238400, None
HD 141937, Gaia DR2 6248534171318085376, Gaia EDR3 6248534171318085376
Kepler-428, Gaia DR2 2101186168296277376, None
EPIC 246851721, Gaia DR2 3393939026234131584, Gaia EDR3 3393939030531019520
WASP-80, Gaia DR2 4223507222112425344, Gaia EDR3 4223507222112425344
Kepler-1114, Gaia DR2 2085258750237006208, None
Kepler-1424, Gaia DR2 2101117418758956416, None
K2-272, Gaia DR2 659826037455527040, None
Kepler-733, Gaia DR2 2128047069862606208, None
Kepler-1460, Gaia DR2 2105886790959182976, None
Kepler-76, Gaia DR2 2052441008208934144, None
WASP-35, Gaia DR2 3211188618762023424, Gaia EDR3 3211188618762023424
Kepler-521, Gaia DR2 2079005651508492032, Gaia EDR3 2079005651508492032
Kepler-681, Gaia DR2 2133249099888182912, None
BD+03 2562, Gaia DR2 3895649725336884736, Gaia EDR3 3895649725336884736
HD 1690, Gaia DR2 2430036837596487424, Gaia EDR3 2430036837596487424
Kepler-601, Gaia DR2 2104705193915993216, None
WASP-65, Gaia DR2 596931979481073152, None
K2-181, Gaia DR2 600874445926411264, Gaia EDR3 600874445926411264
Kepler-1488, Gaia DR2 2133584309198180736, None
K2-66, Gaia DR2 2614121364991061888, Gaia EDR3 2614121364991061888
Kepler-425, Gaia DR2 2101184111011462144, None
WASP-95, Gaia DR2 6518399301667782016, Gaia EDR3 6518399301667782016
HD 136418, Gaia DR2 1392396172224832896, Gaia EDR3 1392396172224832896
Kepler-1251, Gaia DR2 2129755779649780224, None
Kepler-1030, Gaia DR2 2128009617747394432, None
Kepler-1103, Gaia DR2 2132808608042844160, None
Ross 458, Gaia DR2 3737308025028857600, Gaia EDR3 3737308025029348608
Kepler-928, Gaia DR2 2101473385648356608, None
HAT-P-7, Gaia DR2 2129256395211984000, Gaia EDR3 2129256395211984000
Kepler-1006, None, None
Kepler-426, Gaia DR2 2132623993168462464, None
Kepler-1280, Gaia DR2 2127973677460755584, None
MOA-2016-BLG-319L, None, None
Kepler-263, Gaia DR2 2051832634677771008, None
Qatar 7, Gaia DR2 2878923523472328704, Gaia EDR3 2878923523472328704
Kepler-1026, Gaia DR2 2103502465633672320, None
K2-17, Gaia DR2 3899064464855774592, Gaia EDR3 3899064464855774592
Kepler-836, Gaia DR2 2130282789316404736, None
Kepler-211, Gaia DR2 2105743987587112064, None
KOI-12, Gaia DR2 2073860662955260416, Gaia EDR3 2073860662955260416
Kepler-1563, Gaia DR2 2133364308090816768, None
